itinerary_id,day_number,day_title,day_main_location,activity_sequence,activity_description,activity_location_name,activity_time_of_day,activity_tags_csv
VN_BEA_HALONGCRUISE_3D_M,1,Hanoi to Ha Long Bay Cruise,"Ha Long Bay, Vietnam",1,Morning transfer from Hanoi to Ha Long Bay.,Transfer to Ha Long,Morning,transfer
VN_BEA_HALONGCRUISE_3D_M,1,Hanoi to Ha Long Bay Cruise,"Ha Long Bay, Vietnam",2,"Board overnight cruise, enjoy lunch as you sail.",Ha Long Bay Cruise,Afternoon,"cruise,food"
VN_BEA_HALONGCRUISE_3D_M,1,Hanoi to Ha Long Bay Cruise,"Ha Long Bay, Vietnam",3,Visit a stunning cave like Thien Cung or Dau Go.,Thien Cung Cave,Late Afternoon,"cave,sightseeing"
VN_BEA_HALONGCRUISE_3D_M,2,Ha Long Bay Exploration,"Ha Long Bay, Vietnam",1,Morning Tai Chi session on deck (optional).,Ha Long Bay Cruise,Morning,"wellness,activity"
VN_BEA_HALONGCRUISE_3D_M,2,Ha Long Bay Exploration,"Ha Long Bay, Vietnam",2,Kayaking or bamboo boat ride around Luon Cave or similar area.,Luon Cave area,Morning,"kayaking,adventure,nature"
VN_BEA_HALONGCRUISE_3D_M,2,Ha Long Bay Exploration,"Ha Long Bay, Vietnam",3,Visit Titov Island for swimming or hiking to the viewpoint.,Titov Island,Afternoon,"beach,hiking,viewpoint"
VN_BEA_HALONGCRUISE_3D_M,2,Ha Long Bay Exploration,"Ha Long Bay, Vietnam",4,Sunset watching and dinner onboard.,Ha Long Bay Cruise,Evening,"scenery,food"
VN_BEA_HALONGCRUISE_3D_M,3,Ha Long Bay to Hanoi,"Hanoi, Vietnam",1,Enjoy breakfast as the cruise returns to port.,Ha Long Bay Cruise,Morning,"cruise,food"
VN_BEA_HALONGCRUISE_3D_M,3,Ha Long Bay to Hanoi,"Hanoi, Vietnam",2,Disembark and transfer back to Hanoi.,Hanoi,Late Morning/Afternoon,transfer
VN_BEA_CATBAISLAND_4D_M,1,Hanoi to Cat Ba Island,"Cat Ba Island, Vietnam",1,"Morning transfer from Hanoi to Hai Phong, then ferry to Cat Ba.",Cat Ba Town,Full Day,"transfer,ferry"
VN_BEA_CATBAISLAND_4D_M,1,Hanoi to Cat Ba Island,"Cat Ba Island, Vietnam",2,Check into hotel and explore Cat Ba Town.,Cat Ba Town,Afternoon,exploration
VN_BEA_CATBAISLAND_4D_M,2,Cat Ba National Park & Cannon Fort,"Cat Ba Island, Vietnam",1,"Morning trek in Cat Ba National Park, visit Kim Giao forest.",Cat Ba National Park,Morning,"trekking,nature"
VN_BEA_CATBAISLAND_4D_M,2,Cat Ba National Park & Cannon Fort,"Cat Ba Island, Vietnam",2,Afternoon visit Cannon Fort for panoramic views of Lan Ha Bay.,Cannon Fort,Afternoon,"viewpoint,history"
VN_BEA_CATBAISLAND_4D_M,3,Lan Ha Bay Exploration,"Lan Ha Bay, Vietnam",1,Full day boat trip in Lan Ha Bay.,Lan Ha Bay,Full Day,"boat,nature"
VN_BEA_CATBAISLAND_4D_M,3,Lan Ha Bay Exploration,"Lan Ha Bay, Vietnam",2,"Kayak through lagoons, visit floating villages and beaches.",Lan Ha Bay,Full Day,"kayaking,adventure,beach"
VN_BEA_CATBAISLAND_4D_M,4,Cat Ba to Hanoi & Departure,"Hanoi, Vietnam",1,Morning free on Cat Ba or visit local market.,Cat Ba Town,Morning,"leisure,market"
VN_BEA_CATBAISLAND_4D_M,4,Cat Ba to Hanoi & Departure,"Hanoi, Vietnam",2,Afternoon transfer back to Hanoi for departure.,Hanoi,Afternoon,"transfer,departure"
VN_BEA_BAI TU LONG_3D_H,1,Hanoi to Bai Tu Long Bay Luxury Cruise,"Bai Tu Long Bay, VN",1,Private transfer from Hanoi to the cruise port.,Cruise Port,Morning,"transfer,luxury"
VN_BEA_BAI TU LONG_3D_H,1,Hanoi to Bai Tu Long Bay Luxury Cruise,"Bai Tu Long Bay, VN",2,"Embark on luxury cruise, welcome drink and lunch.",Luxury Cruise,Afternoon,"cruise,food,luxury"
VN_BEA_BAI TU LONG_3D_H,1,Hanoi to Bai Tu Long Bay Luxury Cruise,"Bai Tu Long Bay, VN",3,"Cruise to Vung Vieng fishing village, explore by rustic row-boat.",Vung Vieng Village,Late Afternoon,"culture,local life"
VN_BEA_BAI TU LONG_3D_H,2,Bai Tu Long Bay Serenity,"Bai Tu Long Bay, VN",1,Morning Tai Chi session on sundeck.,Luxury Cruise,Morning,"wellness,activity"
