id:,title: ,description_long: ,duration_days: ,image_url:,arrival_city: ,departure_city:,region_definition: ,primary_interest_category:,secondary_interest_tags_csv,traveller_type_tags_csv: ,budget_level_csv:,approx_cost_usd_pp:,inclusions_csv:,exclusions_csv:,videos_csv,gallery_images_csv,reviews_json_text,notes
VN_BEA_HALONGCRUISE_3D_M,Ha Long Bay Overnight Cruise Escape,"Experience the majestic beauty of Ha Long Bay with an overnight cruise, exploring limestone karsts, caves, and enjoying onboard activities.",3,https://www.paradisevietnam.com/public/backend/uploads/images/halong-bay-cruise-overnight-9(1).jpg,Hanoi,Hanoi,North Vietnam,Beaches,"Nature,Adventure,Food","Couple,Family,Friends",Medium,350,"2 nights cruise accommodation,All meals on cruise,Cave visit,Kayaking,Transfers Hanoi-Halong-Hanoi","Drinks,Personal expenses,Tips","https://www.youtube.com/shorts/VVJfoeNWOhg, https://www.youtube.com/shorts/cctl4ii6YeE,https://www.youtube.com/shorts/-ee4Hl5g7Zg","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8BNDOKI4DR2uBrNPgyySzedLJYVXDh8kepQ&s,https://www.paradisevietnam.com/public/backend/uploads/images/halong-bay-cruise-overnight-9(1).jpg","[{""reviewer"":""John D"",""rating"":5,""comment"":""Amazing views!""},{""reviewer"":""Jane S"",""rating"":4,""comment"":""Food was great.""}]","Book cruise in advance, especially during peak season."
VN_BEA_CATBAISLAND_4D_M,Cat Ba Island Adventure & Lan Ha Bay,"Discover the rugged beauty of Cat Ba National Park, relax on its beaches, and explore the pristine waters of Lan Ha Bay by kayak.",4,https://images.unsplash.com/photo-1588445439688-671863a413c8,Hanoi,Hanoi,North Vietnam,Beaches,"Nature,Adventure","Solo,Couple,Friends",Medium,420,"3 nights Cat Ba hotel,Transfers Hanoi-Cat Ba-Hanoi,Lan Ha Bay boat trip,Kayaking,National Park entrance","Meals not specified,Personal gear for trekking",watch?v=VIDEOID2,"https://images.unsplash.com/photo-1605501567386-eb93637384d3,https://images.unsplash.com/photo-1611002212018-91500806e8a4","[{""reviewer"":""Mike T"",""rating"":4,""comment"":""National Park was challenging but rewarding.""}]",Pack for both beach and trekking.
VN_BEA_BAI TU LONG_3D_H,Bai Tu Long Bay Luxury Getaway,"Indulge in a luxurious cruise through the less crowded, equally stunning Bai Tu Long Bay, enjoying premium amenities and serene landscapes.",3,https://images.unsplash.com/photo-1548013146-72479768bada,Hanoi,Hanoi,North Vietnam,Beaches,"Nature,Wellness,Food",Couple,Luxury,750,"2 nights luxury cruise,All gourmet meals & selected drinks on cruise,Private balcony,Spa access,Tai Chi","Premium alcohol,Certain spa treatments,Tips",,"https://images.unsplash.com/photo-1558037048-7878999ba33e,https://images.unsplash.com/photo-1562285067-918273496629","[{""reviewer"":""Emily R"",""rating"":5,""comment"":""Pure bliss! Worth every penny.""}]",Perfect for a romantic escape or special occasion.
VN_MOU_SAPAEXPLORE_3D_M,Sapa Trekking & Minority Villages Explorer,"Trek through the stunning terraced rice fields of Sapa, visit local ethnic minority villages, and experience their unique culture and hospitality.",3,https://images.unsplash.com/photo-1534140399903-76b3a60a0f0d,Hanoi,Hanoi,North Vietnam,Mountains,"Nature,Culture,Adventure,History","Solo,Couple,Friends",Medium,300,"2 nights Sapa hotel/homestay,Train/Bus Hanoi-Sapa-Hanoi,Guided trek,Village visits,Some meals","Most meals,Drinks,Personal trekking gear",VIDEOID_SAPA1,"https://images.unsplash.com/photo-1579037318789-a489fe66095e,https://images.unsplash.com/photo-1556083193-8c70f44499dd","[{""reviewer"":""David L"",""rating"":5,""comment"":""Incredible scenery and cultural immersion.""}]",Be prepared for varying weather conditions in Sapa.
VN_MOU_BACSONVALLEY_2D_L,Bac Son Valley Homestay Adventure,"Escape to the picturesque Bac Son Valley, known for its stunning landscapes, limestone karsts, and authentic Tay ethnic minority homestays.",2,https://images.unsplash.com/photo-1592858169691-bab99706e71d,Hanoi,Hanoi,North Vietnam,Mountains,"Nature,Culture,Adventure","Solo,Couple",Affordable,180,"1 night homestay,Transfers Hanoi-Bac Son-Hanoi,Guided walk,Most meals with homestay","Drinks,Snacks,Tips for homestay",,"https://images.unsplash.com/photo-1592858169691-bab99706e71d,https://images.unsplash.com/photo-1603089430953-5f997104f11c","[{""reviewer"":""Sarah K"",""rating"":4,""comment"":""Authentic and beautiful, basic but charming.""}]",Great for off-the-beaten-path travel.
VN_MOU_MAICHAUHIKE_2D_M,Mai Chau Valley Biking & Hiking Getaway,"Cycle and hike through the idyllic Mai Chau valley, home to White Thai ethnic communities, enjoying lush rice paddies and stilt house villages.",2,https://images.unsplash.com/photo-1585543923002-995589999603,Hanoi,Hanoi,North Vietnam,Mountains,"Nature,Culture,Adventure","Couple,Family,Friends",Medium,220,"1 night stilt house/bungalow,Transfers Hanoi-Mai Chau-Hanoi,Bicycle rental,Guided hike,Some meals","Most meals,Drinks",VIDEOID_MAICHAU,"https://images.unsplash.com/photo-1559223760-38739b8e9668,https://images.unsplash.com/photo-1569185119322-0a99464155a0","[{""reviewer"":""Tom P"",""rating"":5,""comment"":""Peaceful and very scenic, loved the cycling.""}]","Relaxing pace, suitable for families."
VN_CUL_HANOICITY_3D_M,Hanoi Old Quarter & French Colonial Charm,"Immerse yourself in the vibrant atmosphere of Hanoi's Old Quarter, explore French colonial architecture, and savor delicious street food.",3,https://images.unsplash.com/photo-1559594540-26e1792b3dc7,Hanoi,Hanoi,North Vietnam,Culture,"History,Food,City Exploration","Solo,Couple,Friends",Medium,280,"2 nights hotel in Old Quarter,Guided city tour,Street food tour,Water puppet show ticket","Lunches,Dinners not on tour,Entrance fees not specified",HANOI_INTRO_VID,"https://images.unsplash.com/photo-1500026560004-326b80dRR330,https://images.unsplash.com/photo-1545042711-bfd9e0710160","[{""reviewer"":""Lisa W"",""rating"":5,""comment"":""Hanoi is amazing! So much to see and eat.""}]",Wear comfortable shoes for walking.
VN_CUL_NINHBINH_2D_M,Ninh Binh's Tam Coc & Hoa Lu Ancient Capital,"Explore ""Ha Long Bay on Land"" with a boat trip through Tam Coc's rice paddies and karst formations, and visit the ancient capital of Hoa Lu.",2,https://images.unsplash.com/photo-1573769993402-53869f95a217,Hanoi,Hanoi,North Vietnam,Culture,"Nature,History,Adventure","Couple,Family,Friends",Medium,200,"1 night Ninh Binh hotel,Transfers Hanoi-Ninh Binh-Hanoi,Tam Coc boat trip,Hoa Lu entrance,Bicycle","Meals not specified,Drinks",,"https://images.unsplash.com/photo-1583126959894-769990296171,https://images.unsplash.com/photo-1599704814035-43dd36f3111a","[{""reviewer"":""Ben H"",""rating"":4,""comment"":""Tam Coc boat ride was stunning.""}]","Can be done as a long day trip, but overnight is more relaxed."
VN_CUL_BATTRANGDUONG_1D_L,Bat Trang Pottery & Duong Lam Ancient Village,Day trip from Hanoi to discover the traditional Bat Trang pottery village and the historic Duong Lam ancient village with its laterite houses.,1,https://images.unsplash.com/photo-1591107053831-6444828866b4,Hanoi,Hanoi,North Vietnam,Culture,"History,City Exploration","Solo,Couple,Family",Affordable,90,"Private car & guide for the day,Entrance fees,Simple local lunch","Pottery purchases,Drinks",,"https://images.unsplash.com/photo-1561691837-ddd2305a4037,https://images.unsplash.com/photo-1598078569528-669899150592",,Good for a quick cultural immersion outside the city.
VN_CUL_PERFUME PAGODA_1D_M,Perfume Pagoda Spiritual Day Trek,"A spiritual and scenic day trip involving a boat ride and a trek (or cable car) to the Perfume Pagoda complex, a major Buddhist pilgrimage site.",1,https://images.unsplash.com/photo-1589379914809-089087040996,Hanoi,Hanoi,North Vietnam,Culture,"Spirituality,Nature,Adventure,History","Solo,Friends",Medium,120,"Transfers Hanoi-Ben Duc,Boat ride,Entrance fees,Cable car (optional, extra),Local guide","Lunch,Drinks,Personal offerings",,"https://images.unsplash.com/photo-1589379914809-089087040996,https://images.unsplash.com/photo-1610422001538-2439c729c091","[{""reviewer"":""Chloe J"",""rating"":4,""comment"":""Beautiful pagoda, bit crowded during festival.""}]",Best visited outside major festival times to avoid crowds.
